,address,affordable_units,block,lat,latest_date,latlng,lon,lot,net_units,status,units,year,zone,unitcat
0,"1400 MISSION ST, San Francisco, CA",167.0,3507,37.7752826673,2015-12-22 00:00:00,,-122.41649002,042,190.0,COMPLETE,190.0,2015,C-3-G,1
1,"255 BROADWAY *, San Francisco, CA",74.0,0165,37.7982992322,2015-02-12 00:00:00,,-122.40162899,021,75.0,COMPLETE,75.0,2015,C-2,1
2,"1100 OCEAN AV, San Francisco, CA",70.0,3180,37.7255770059,2015-02-23 00:00:00,,-122.454152836,001,71.0,COMPLETE,71.0,2015,OCEAN AVE NCT,1
3,"280 BEALE ST, San Francisco, CA",69.0,3738,37.7887057378,2015-06-23 00:00:00,,-122.393608538,004,70.0,TCO ISSUED,70.0,2015,TB DTR,1
4,"100 VAN NESS AV, San Francisco, CA",48.0,0814,37.7767211121,2015-05-05 00:00:00,,-122.419177325,020,399.0,PRE-FINAL,399.0,2015,C-3-G,2
5,"527 STEVENSON ST, San Francisco, CA",9.0,3703,37.7809980301,2015-08-03 00:00:00,,-122.41016813,012,60.0,COMPLETE,60.0,2015,C-3-G,1
6,"101 DONAHUE ST, San Francisco, CA",6.0,4591C,37.729001486,2015-12-10 00:00:00,,-122.369639231,042,63.0,PRE-FINAL,63.0,2015,RM-1,1
7,"1875 MISSION ST, San Francisco, CA",6.0,3548,37.767101378,2015-01-23 00:00:00,,-122.419446137,032,39.0,COMPLETE,39.0,2015,MISSION NCT,0
8,"870 HARRISON ST, San Francisco, CA",4.0,3752,37.7797426001,2015-01-08 00:00:00,,-122.401357318,019,26.0,COMPLETE,26.0,2015,RSD,0
9,"35 DOLORES ST, San Francisco, CA",4.0,3534,37.7685601102,2015-02-02 00:00:00,,-122.426308197,139,37.0,COMPLETE,37.0,2015,RTO,0
10,"400 GROVE ST, San Francisco, CA",4.0,0793,37.7780007501,2015-09-28 00:00:00,,-122.423534324,103,34.0,PRE-FINAL,34.0,2015,NCT-3,0
11,"327 BALBOA ST, San Francisco, CA",4.0,1640,37.7770597273,2015-12-14 00:00:00,,-122.462385349,051,4.0,PRE-FINAL,6.0,2015,NC-2,0
12,"201 DONAHUE ST, San Francisco, CA",3.0,4519C,37.7283811843,2015-12-10 00:00:00,,-122.3701996,093,25.0,,25.0,2015,HP-RA,0
13,"748 TREAT AV, San Francisco, CA",2.0,3612,37.7581089337,2015-11-03 00:00:00,,-122.413834837,055,2.0,COMPLETE,3.0,2015,RH-3,0
14,"2986 22ND ST, San Francisco, CA",2.0,3613,37.7559019737,2015-02-17 00:00:00,,-122.413965023,018B,2.0,COMPLETE,3.0,2015,RH-3,0
15,"119 HABITAT TR, San Francisco, CA",1.0,7148,37.7108887492,2015-05-13 00:00:00,,-122.45972245,068,1.0,COMPLETE,1.0,2015,RH-1,0
16,"121 HABITAT TR, San Francisco, CA",1.0,7148,37.710890121,2015-05-28 00:00:00,,-122.459813388,067,1.0,COMPLETE,1.0,2015,RH-1,0
17,"123 HABITAT TR, San Francisco, CA",1.0,7148,37.7108911875,2015-05-29 00:00:00,,-122.459904412,066,1.0,COMPLETE,1.0,2015,RH-1,0
18,"125 HABITAT TR, San Francisco, CA",1.0,7148,37.7108922503,2015-08-20 00:00:00,,-122.459995436,065,1.0,COMPLETE,1.0,2015,RH-1,0
19,"127 HABITAT TR, San Francisco, CA",1.0,7148,37.710893314,2015-05-29 00:00:00,,-122.460086462,064,1.0,COMPLETE,1.0,2015,RH-1,0
20,"129 HABITAT TR, San Francisco, CA",1.0,7148,37.7108943785,2015-05-29 00:00:00,,-122.460177486,063,1.0,COMPLETE,1.0,2015,RH-1,0
21,"131 HABITAT TR, San Francisco, CA",1.0,7148,37.7108954412,2015-08-05 00:00:00,,-122.460268508,062,1.0,COMPLETE,1.0,2015,RH-1,0
22,"133 HABITAT TR, San Francisco, CA",1.0,7148,37.7108965056,2015-08-13 00:00:00,,-122.460359529,061,1.0,COMPLETE,1.0,2015,RH-1,0
23,"135 HABITAT TR, San Francisco, CA",1.0,7148,37.7108976121,2015-11-06 00:00:00,,-122.460453972,060,1.0,COMPLETE,1.0,2015,RH-1,0
24,"137 HABITAT TR, San Francisco, CA",1.0,7148,37.7108987579,2015-11-06 00:00:00,,-122.460551903,059,1.0,COMPLETE,1.0,2015,RH-1,0
25,"139 HABITAT TR, San Francisco, CA",1.0,7148,37.7108999518,2015-11-19 00:00:00,,-122.460649859,058,1.0,FINAL INSPECT/APPRVD,1.0,2015,RH-1,0
26,"141 HABITAT TR, San Francisco, CA",1.0,7148,37.7109021129,2015-11-23 00:00:00,,-122.460748071,057,1.0,COMPLETE,1.0,2015,RH-1,0
27,"500 BUCHANAN ST, San Francisco, CA",1.0,0830,37.7745975423,2015-12-09 00:00:00,,-122.427382447,014,1.0,PRE-FINAL,13.0,2015,RTO,0
28,"500 CAPP ST, San Francisco, CA",1.0,3610,37.7585623518,2015-12-03 00:00:00,,-122.418185865,032,1.0,COMPLETE,2.0,2015,RTO-Mission,0
29,"949 HAMPSHIRE ST, San Francisco, CA",1.0,4142,37.7569215351,2015-02-11 00:00:00,,-122.40740204,030,1.0,COMPLETE,2.0,2015,RH-2,0
30,"1359 48TH AV, San Francisco, CA",1.0,1803,37.761076226,2015-04-30 00:00:00,,-122.508449268,010,1.0,COMPLETE,2.0,2015,RH-2,0
31,"750 27TH ST, San Francisco, CA",1.0,6583,37.7465410179,2015-05-27 00:00:00,,-122.436922539,010,1.0,COMPLETE,2.0,2015,RH-1,0
32,"1825 SCOTT ST, San Francisco, CA",1.0,1050,37.7866806999,2015-10-27 00:00:00,,-122.438710988,006B,1.0,COMPLETE,2.0,2015,RH-2,0
33,"22 FAIRMOUNT ST, San Francisco, CA",1.0,6662,37.7392348363,2015-11-24 00:00:00,,-122.425177647,007,1.0,COMPLETE,2.0,2015,RH-2,0
34,"1354 24TH AV, San Francisco, CA",1.0,1778,37.7623092343,2015-09-18 00:00:00,,-122.48208215,031,1.0,COMPLETE,2.0,2015,RH-2,0
35,"1364 20TH AV, San Francisco, CA",1.0,1774,37.7623595007,2015-04-01 00:00:00,,-122.477783177,031,1.0,COMPLETE,2.0,2015,RH-2,0
36,"1424 10TH AV, San Francisco, CA",1.0,1844,37.7615882714,2015-04-03 00:00:00,,-122.466885036,040,1.0,COMPLETE,2.0,2015,RH-2,0
37,"1596 09TH AV, San Francisco, CA",1.0,1854,37.758612285,2015-02-02 00:00:00,,-122.465692649,016A,1.0,COMPLETE,2.0,2015,RH-2,0
38,"277 HENRY ST, San Francisco, CA",1.0,2612,37.7663022683,2015-04-06 00:00:00,,-122.437073381,054,1.0,COMPLETE,2.0,2015,RH-2,0
39,"1266 41ST AV, San Francisco, CA",1.0,1710,37.7631599597,2015-11-12 00:00:00,,-122.500413872,031,1.0,COMPLETE,2.0,2015,RH-2,0
40,"4241 23RD ST, San Francisco, CA",1.0,2805,37.7524576927,2015-06-04 00:00:00,,-122.437400909,042,1.0,COMPLETE,2.0,2015,RH-2,0
41,"3339 ANZA ST, San Francisco, CA",1.0,1567,37.7779327715,2015-12-24 00:00:00,,-122.484241447,032,1.0,PRE-FINAL,2.0,2015,RM-1,0
42,"346 22ND AV, San Francisco, CA",1.0,1453,37.7812831553,2015-06-24 00:00:00,,-122.481267585,033,1.0,COMPLETE,2.0,2015,RM-1,0
43,"115 CORNWALL ST, San Francisco, CA",1.0,1431,37.784743235,2015-12-16 00:00:00,,-122.460614251,048,1.0,COMPLETE,2.0,2015,RM-1,0
44,"4035 18TH ST, San Francisco, CA",1.0,3583,37.7607840656,2015-07-29 00:00:00,,-122.43356003,082,1.0,COMPLETE,2.0,2015,CASTRO,0
45,"3415 MISSION ST, San Francisco, CA",1.0,5673,37.7418319463,2015-12-17 00:00:00,,-122.421995338,039,1.0,COMPLETE,2.0,2015,NC-3,0
46,"414 SOMERSET ST, San Francisco, CA",1.0,6044,37.726251929,2015-11-02 00:00:00,,-122.40764887,003,1.0,COMPLETE,2.0,2015,RH-1,0
47,"335 RALSTON ST, San Francisco, CA",1.0,7003,37.7185431986,2015-07-23 00:00:00,,-122.469219479,013,1.0,COMPLETE,2.0,2015,RH-1,0
48,"100 PUTNAM ST, San Francisco, CA",1.0,5699,37.7380508165,2015-10-28 00:00:00,,-122.41108466,001,1.0,COMPLETE,2.0,2015,RH-1,0
49,"135 MIRAMAR AV, San Francisco, CA",1.0,6984,37.720692242,2015-09-16 00:00:00,,-122.45849435,011,1.0,COMPLETE,2.0,2015,RH-1,0
50,"259 BRIGHT ST, San Francisco, CA",1.0,7090,37.7154040211,2015-10-08 00:00:00,,-122.463789758,007,1.0,COMPLETE,2.0,2015,RH-1,0
51,"2474 45TH AV, San Francisco, CA",1.0,2381,37.7404600111,2015-08-24 00:00:00,,-122.50312499,027A,1.0,COMPLETE,2.0,2015,RH-1,0
52,"2695 45TH AV, San Francisco, CA",1.0,2451,37.736362242,2015-09-24 00:00:00,,-122.503452353,002D,1.0,COMPLETE,2.0,2015,RH-1,0
53,"2050 43RD AV, San Francisco, CA",1.0,2162,37.7484223387,2015-10-26 00:00:00,,-122.501531965,031,1.0,PRE-FINAL,2.0,2015,RH-1,0
54,"1657 42ND AV, San Francisco, CA",1.0,1901,37.7557675517,2015-11-12 00:00:00,,-122.501628559,012,1.0,COMPLETE,2.0,2015,RH-1,0
55,"1758 36TH AV, San Francisco, CA",1.0,2014,37.7542143399,2015-10-02 00:00:00,,-122.494416243,004F,1.0,CFC ISSUED,2.0,2015,RH-1,0
56,"2670 21ST AV, San Francisco, CA",1.0,2476,37.7379352278,2015-12-23 00:00:00,,-122.477154846,034,1.0,COMPLETE,2.0,2015,RH-1,0
57,"1901 17TH AV, San Francisco, CA",1.0,2117,37.7523053796,2015-11-02 00:00:00,,-122.47450981,001,1.0,COMPLETE,2.0,2015,RH-1,0
58,"2151 15TH AV, San Francisco, CA",1.0,2202,37.7478472291,2015-11-12 00:00:00,,-122.47203492,001J,1.0,PRE-FINAL,2.0,2015,RH-1(D),0
59,"2418 BALBOA ST, San Francisco, CA",1.0,1568,37.7765624183,2015-02-03 00:00:00,,-122.484900871,012,1.0,COMPLETE,2.0,2015,RH-2,0
60,"1341 17TH AV, San Francisco, CA",1.0,1772,37.7628419831,2015-11-20 00:00:00,,-122.475256597,004K,1.0,COMPLETE,2.0,2015,RH-2,0
61,"352 WALLER ST, San Francisco, CA",1.0,0859,37.7715552906,2015-07-09 00:00:00,,-122.429516405,013,1.0,COMPLETE,2.0,2015,RH-3,0
62,"1612 ANZA ST, San Francisco, CA",1.0,1537,37.7792744792,2015-06-04 00:00:00,,-122.465585799,018,1.0,COMPLETE,2.0,2015,RM-1,0
63,"564 FELL ST, San Francisco, CA",1.0,0819,37.7755972576,2015-05-15 00:00:00,,-122.427127742,011,1.0,COMPLETE,3.0,2015,RTO,0
64,"1110 SOUTH VAN NESS AV, San Francisco, CA",1.0,3637,37.7552694069,2015-11-17 00:00:00,,-122.416893616,003,1.0,COMPLETE,6.0,2015,RTO-Mission,0
65,"149 HENRY ST, San Francisco, CA",1.0,3540,37.7663553658,2015-12-18 00:00:00,,-122.434410499,046,1.0,COMPLETE,4.0,2015,RH-3,0
66,"1321 GROVE ST, San Francisco, CA",1.0,1201,37.7756091747,2015-08-06 00:00:00,,-122.438500636,037,1.0,COMPLETE,4.0,2015,RM-1,0
67,"1308 TAYLOR ST, San Francisco, CA",1.0,0190,37.7945523421,2015-09-11 00:00:00,,-122.412745597,011,1.0,COMPLETE,4.0,2015,RM-3,0
68,"5924 CALIFORNIA ST, San Francisco, CA",1.0,1381,37.7843025321,2015-12-03 00:00:00,,-122.48123331,017,1.0,PRE-FINAL,3.0,2015,RM-1,0
69,"279 26TH AV, San Francisco, CA",1.0,1386,37.7842361111,2015-04-14 00:00:00,,-122.48644286,015,1.0,COMPLETE,3.0,2015,RM-1,0
70,"2250 JERROLD AV, San Francisco, CA",1.0,5230,37.7456722574,2015-12-14 00:00:00,,-122.400082362,034,1.0,COMPLETE,1.0,2015,PDR-2,0
71,"324 05TH ST, San Francisco, CA",1.0,3753,37.7797784426,2015-05-22 00:00:00,,-122.403165712,003,1.0,PRE-FINAL,1.0,2015,MUR,0
72,"690 LONG BRIDGE ST, San Francisco, CA",0.0,8711,37.7728577969,2015-12-11 00:00:00,,-122.392854729,013,273.0,COMPLETE,273.0,2015,MB-RA,2
73,"718 LONG BRIDGE ST, San Francisco, CA",0.0,8710,37.7718055388,2015-11-25 00:00:00,,-122.394186978,007,267.0,TCO ISSUED,267.0,2015,MB-RA,2
74,"1200 04TH ST, San Francisco, CA",0.0,8711,37.7724836202,2015-11-24 00:00:00,,-122.391811606,017,133.0,COMPLETE,133.0,2015,MB-RA,1
75,"338 MAIN ST, San Francisco, CA",0.0,3746,37.7886820147,2015-11-17 00:00:00,,-122.391851354,003,245.0,PRE-FINAL,245.0,2015,RC-4,2
76,"333 BEALE ST, San Francisco, CA",0.0,3746,37.7886820147,,,-122.391851354,003,80.0,,80.0,2015,RC-4,1
77,"318 MAIN ST, San Francisco, CA",0.0,3746,37.7886820147,,,-122.391851354,003,59.0,,59.0,2015,RC-4,1
78,"2558 MISSION ST, San Francisco, CA",0.0,3616,37.7559787871,2015-01-12 00:00:00,,-122.419149418,084,114.0,COMPLETE,114.0,2015,MISSION NCT,1
79,"899 VALENCIA ST, San Francisco, CA",0.0,3596,37.7587508455,2015-05-04 00:00:00,,-122.420977728,113,18.0,COMPLETE,18.0,2015,Valencia St NCT,0
80,"252 09TH ST, San Francisco, CA",0.0,3518,37.7741271845,2015-10-14 00:00:00,,-122.412521265,007,15.0,CFC ISSUED,15.0,2015,SLR,0
81,"45 LANSING ST, San Francisco, CA",0.0,3749,37.7858734299,2015-12-23 00:00:00,,-122.393748743,059,320.0,PRE-FINAL,320.0,2015,RH DTR,2
82,"310 CAROLINA ST, San Francisco, CA",0.0,3980,37.7645999676,2015-11-09 00:00:00,,-122.401091415,008,21.0,COMPLETE,21.0,2015,UMU,0
